reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
3cf1c1ad-1a47-4901-8a54-1a9f5d5b9e06,Ginanjar Ilmi Nur Avicena,https://play-lh.googleusercontent.com/a-/ALV-UjWOg0bi3PVJzV1BngpD2x83uDbCXR-bklkH8EkPY9_KgWIDve0T,"Saya kok gabisa login ya, padahal saya kuliah di unsoed",1,3,,2021-06-07 15:35:41,,,
b00a5304-ac11-47a1-9b53-2d51aea21553,Aldin Fernandez,https://play-lh.googleusercontent.com/a-/ALV-UjXlxt5LxDbKOqE8Vvl0ypkxS08V96YcRxFbbY6rBZferxOq5MVRfA,Buat mode gelapnya dong,5,0,1.2.4,2021-06-06 06:20:05,,,1.2.4
1403decf-f0dc-4b07-ac14-41c3a8f3d75f,Moch Ridwan,https://play-lh.googleusercontent.com/a-/ALV-UjXYBpT9Dz-27swkCg7gDnXmUCxdsEcLUwtbEtFr3YB_yXWzhSJa,Hai telyutizen,5,1,1.2.4,2021-06-05 12:56:24,,,1.2.4
36fbfc61-7814-4b2a-b3b2-d127f4ca8dc0,Rafif Fakhri Ramadhan,https://play-lh.googleusercontent.com/a-/ALV-UjX-Z-s5ysnlhk-Q_7AQCKokeg5F-BVd0ANJ_cuey2zIiCX_zJuc,"Aplikasinya keren, membantu dalam perkuliahan dan bisa liat klasmen TAK",5,5,1.2.3,2021-06-05 02:37:24,,,1.2.3
affaf299-1ca7-47b1-b064-1cef892ddc81,Dakudu,https://play-lh.googleusercontent.com/a-/ALV-UjUQVC6btLhLrdvmK-A4S3J8AbsHxpYco_a96GOEeX6jV0UehLS3,Good,5,1,1.2.2,2021-06-04 04:26:40,,,1.2.2
4c3dcbbf-c28d-45fa-9525-72161b4b8f4f,Muhammad ilham D,https://play-lh.googleusercontent.com/a-/ALV-UjV2JJk9_2ueawkVsezDIP0xG7NIWOfiRVlRa1CxJ8FF53uLgOjR,🔥🔥🔥,5,1,1.2.2,2021-06-04 03:48:37,,,1.2.2
fcadab91-221c-44c9-a83c-05ad3c93064a,Me ngs_,https://play-lh.googleusercontent.com/a-/ALV-UjVgC3slEtA8Wr2637n4YaQfT1VAP3S7KylwLQRpYZdSQoUWYUAu,KUDU TAMBAJIN FITUR KOMEN DI TL DONG BIAR RAMEE,5,2,1.2.2,2021-06-03 20:49:20,,,1.2.2
ecd81524-c0da-45d3-8600-7bb9df1fd6c9,fachruddin abdul chalik,https://play-lh.googleusercontent.com/a-/ALV-UjUtVxhW9-1ZicYHlnEexGPDNuXPPp0JWaizyViG9p4M91Ga1JMk1Q,Buatnya pake framework/bahasa apa kak?,5,0,1.2.2,2021-05-29 16:09:28,,,1.2.2
517ca797-51db-481f-b16f-3714e7fa608a,ShotaMV,https://play-lh.googleusercontent.com/a-/ALV-UjX2eNpLpwPCIOLord01XnHXntBP5aLv5SDgJ4oTe1uLJn2VhsK7,Keren,5,1,1.2.2,2021-05-28 04:50:22,,,1.2.2
ca43aecf-ca93-42ef-9dcf-bcb40e96f0e8,Fikri Fadlah,https://play-lh.googleusercontent.com/a/ACg8ocKo9gE4sLinWeHCjIGbbTFd778jdlD_b2R-1Hquk9YddP9Faw=mo,Keren bett aplikasi nyaa Smooth😘,5,1,1.2.2,2021-05-28 03:32:52,,,1.2.2
726da078-9b26-4d67-8420-1c9750596257,Aziz Reza Pratama,https://play-lh.googleusercontent.com/a-/ALV-UjUdg5U2g6gqPOf2sDYQBlvs83mkdB-NWezEdsz2MFHcC1vy5F34,GG MEN...,5,1,,2021-05-27 16:14:06,,,
e6eac7d2-8254-48e8-8890-0a3ed5b962c1,Novembry Nababan,https://play-lh.googleusercontent.com/a-/ALV-UjUPF92-tgLLRxrJYXe7Y6NVaRerXmBCPN9SUsrzl4lWndwhk3pb,Dowload Krn ngikut teman aja,5,1,1.2.2,2021-05-27 09:20:49,,,1.2.2
f1fa689d-5b95-457d-8f84-19e736d965e9,Prandhana Yogy,https://play-lh.googleusercontent.com/a-/ALV-UjUq5frXfijvKkSSBQkdIzguGutkcY9wK2OVG-sBSGOBDrKZ8jIVQg,Mantap,5,1,1.2.2,2021-05-27 04:45:52,,,1.2.2
d35f3902-aff8-43d5-aa41-9841106bb9ff,M Rave Adr,https://play-lh.googleusercontent.com/a-/ALV-UjXakEyb7vOTZFpRbprsClwDpvAOZM22lnLJ3mPAgPI5FSl0S9U,Pak sediakan Top 100 mahasiswa IPK,5,2,1.2.2,2021-05-27 04:00:13,,,1.2.2
9dbe12b8-ecca-4f5d-a00e-a956f627c248,Fransiskus Kevin,https://play-lh.googleusercontent.com/a-/ALV-UjVVUFvaFZzbnVRTCiUlx0dB3xjsGh67GlGdtYn5qPy8wC41XiI,Kurang banyak aja fiturnya,5,1,1.2.2,2021-05-27 02:11:54,,,1.2.2
1c13f2c3-f31e-49d2-80a2-e296a1a111b5,M. Ariq Musyaffa,https://play-lh.googleusercontent.com/a-/ALV-UjWtdkg5WRiWpPhGmnFBiL5yDOLiGW4sCZiPS2Ohn_gg4j6UCtva,"Masih nemu beberapa bug, tapi aplikasinya sudah keren. Semoga kedepannya jadi makin bagus lagi 👌",4,7,1.2.2,2021-05-26 14:20:11,,,1.2.2
8d8b2e74-f947-4fc4-9f5a-1cf774c6c546,Tengku Achmad Abdul Rahman,https://play-lh.googleusercontent.com/a-/ALV-UjXVwDqWDKrpb-7r8aTpk6CdXZiFSqxHKy1lLXX47MKcu5cqemiGEQ,Keren,5,1,,2021-05-26 13:43:17,,,
367750f8-e631-4f55-a18e-709f5522ccd6,Kurniadi Ahmad Wijaya,https://play-lh.googleusercontent.com/a-/ALV-UjXHluHPuT2Y6zu-Cidcwiyby4xVpZ_KyRr-PhnyodPRzgm-MzIU,Semoga kedepannya bisa memiliki fitur lebih yang dapat memenuhi kebutuhan civitas akademik telkom dan fetching datanya gak lama ehehe,5,4,1.2.2,2021-05-26 12:31:26,,,1.2.2
4f384cd7-1d0a-4298-bc65-a28598c0cec2,Ummu Havizahra,https://play-lh.googleusercontent.com/a-/ALV-UjVCMm1myOc5unMOQ8jnVw6d0JXxsYkUKfol882oLQgHqSDZDGo5,Kece,5,1,,2021-05-26 08:11:44,,,
205d0ae7-6be5-43d8-9aa3-bbe120003f04,Filia Eunike Sologia,https://play-lh.googleusercontent.com/a-/ALV-UjW4vVYiKsFh1lP9qfXwuSyIZa1LLC15JH-74YzXPb3culQcbhGA,Keren appnya...,5,1,1.2.2,2021-05-26 02:31:32,,,1.2.2
863e8894-d11c-448a-9a66-10a502f3dd0e,Ridwan Afif,https://play-lh.googleusercontent.com/a-/ALV-UjV5EZX_GnTLQaiN23sBjpVs1jKb4QNyjX4E2TQkyTSOKjAwQ3EMRw,GGWP sentinels menang,5,1,1.2.2,2021-05-26 01:37:35,,,1.2.2
e3889f85-79f0-422d-9089-16a95242ca07,Muhammad Hilmi Izzulhaq,https://play-lh.googleusercontent.com/a-/ALV-UjVJkwYj0x6YkpuYF82hPEt1F9AGs0s3FkCvEAIIGeaT6us9LyNT,"Keren, semoga lebih baik kedepannya",5,4,1.2.2,2021-05-25 14:16:56,,,1.2.2
2b42729b-efad-4504-bbc3-a7b321033812,Ardigymns,https://play-lh.googleusercontent.com/a/ACg8ocJYCHusJSOxEQ8CaaXL5K8ym0TxC-GyxiCCoXnbERKi5dho_g=mo,"D'besto, lazatto, sabana, hisana",5,1,1.2.2,2021-05-25 13:49:24,,,1.2.2
